smiles,TADF-likeness
CC1(C)c2cc(C=Cc3ccc(-c4ccc5c(c4)-c4ccccc4[Si]54Cc5ccccc5C4)cc3)ccc2-c2ccc(C=Cc3ccc(-c4ccc5c(c4)-c4ccccc4[Si]54Cc5ccccc5C4)cc3)cc21,76.51818848
c1ccc2cc3c(cc2c1)c1c2c(cc4c5ccccc5n3c41)c1ccccc1n2-c1nc(-n2c3ccccc3c3c4ccccc4ccc32)c2sc3ccccc3c2n1,78.53466034
c1ccc(-c2ccc(-c3cccc(-c4cccc5c4sc4c(-c6cccc(-c7ccc8c9ccccc9c9ccccc9c8c7)c6)cccc45)c3)cc2)cc1,77.52133942
c1ccc2c(c1)oc1c2cc2c3c1ccc1cc4c5ccccc5sc4c(c13)n2-c1ccc(-c2ccc3sc4ccccc4c3c2)cc1,78.60702515
CN(C)c1ccc([C@H]2N[C@@H](c3ccccc3)c3c(ccc4ccccc34)O2)cc1,79.41481018
c1ccc(N(c2ccc3c(c2)C(c2ccccc2)(c2ccccc2)c2ccccc2-3)c2cc3oc4ccccc4c3c3sc4ccccc4c23)cc1,76.71572113
Cc1ccccc1-c1c2cc3c4cccc5c(-c6cccc7c6sc6ccccc67)ccc(c54)c3c3c4ccccc4c(c4c5ccc6c7ccc8c9c(ccc(c%10ccc(c14)c5c%106)c97)-c1ccccc1-8)c23,78.77528381
CC(C)c1nc(Nc2ccccc2)c2cnn(-c3ccccc3)c2n1,76.22794342
c1ccc(-n2c3ccccc3c3ccc(Oc4ccc5sc6oc7cccnc7c6c5c4)cc32)nc1,78.576828
CC=Cc1ccc2c(c1)C1(CCCC1)c1cc(-c3ccc4c(c3)C3(CCCC3)c3cc(C=Cc5ccc(-c6ccc7c(c6)c6ccccc6n7-c6ccc7c(c6)C(C)(C)c6ccccc6-7)cc5)ccc3-4)ccc1-2,78.33909607
C=CC=CC(=CC)c1cccc(-c2cc(-c3cccc4ccccc34)cc3c2sc2ccc(-c4ccc5c(c4)c4ccccc4n5-c4cc5cccc6ccc7cc8c(c4c7c65)-c4ccccc4C8(C)C)cc23)c1,78.57237244
CSc1c2cccc3c4cccc5cc6cccc7c8cccc1c8c(c23)c(c54)c67,77.10508728
c1ccc(-c2c3c(c(-c4ccc(P(c5cccnc5)c5cccnc5)cc4)c4ccccc24)-c2cccc4cccc-3c24)cc1,78.03825378
[C-]#[N+]c1ccc(N(c2c(F)ccc(-c3ccccc3)c2F)c2ccc3ccc4c(N(c5ccc(C#N)cc5)c5c(F)ccc(-c6ccccc6)c5F)ccc5ccc2c3c54)cc1,76.36777496
C1=C(c2ccccc2)c2ccccc2N(c2ccccc2)N1,75.49507141
CC(C)(C)c1ccc2c(c1)C(C)(C)c1c(-c3ccc(N(c4ccc5ccccc5c4)c4cccc5ccccc45)c4c3C(C)(C)c3cc(C(C)(C)C)ccc3-4)ccc(N(c3ccc4ccccc4c3)c3cccc4ccccc34)c1-2,93.87166595
